# book_semantica plan  2026-08-30
# command: .venv/bin/python -m book_semantica plan --repo-root /opt/AI-reads-books-page-by-page
# LLM is not called. 労務入門.ocr must be skip.

status	book_key	total_items	output_dir
pending	Zukai__Soshiki_Kaihatsu_Nyuumon__Soshiki_zukurino_Kiso_wo_ichi_ubo____Riron_to_J	1788	/opt/AI-reads-books-page-by-page/book_analysis/semantica/Zukai__Soshiki_Kaihatsu_Nyuumon__Soshiki_zukurino_Kiso_wo_ichi_ubo____Riron_to_J
pending	entaapuraizuseerusu__Daikigyou_Tantou_no_Eigyou_Soshiki_ga_Seika_wo_Dashi_Tsuzuk	2562	/opt/AI-reads-books-page-by-page/book_analysis/semantica/entaapuraizuseerusu__Daikigyou_Tantou_no_Eigyou_Soshiki_ga_Seika_wo_Dashi_Tsuzuk
pending	kasutamaasakusesu_purofesshonaruuu_Kokyaku_no_Seikou_wo_Sasae__asu_Shigoto_nosub	1665	/opt/AI-reads-books-page-by-page/book_analysis/semantica/kasutamaasakusesu_purofesshonaruuu_Kokyaku_no_Seikou_wo_Sasae__asu_Shigoto_nosub
pending	kontena_Monogatari__Sekai_wo_Kae_tanoha___Hako____no_Hatsumei_datta__Zouho_Kaite	2824	/opt/AI-reads-books-page-by-page/book_analysis/semantica/kontena_Monogatari__Sekai_wo_Kae_tanoha___Hako____no_Hatsumei_datta__Zouho_Kaite
pending	shirikonbaree_Shiki_Chou_raifuhakku__-_deivu	2337	/opt/AI-reads-books-page-by-page/book_analysis/semantica/shirikonbaree_Shiki_Chou_raifuhakku__-_deivu
pending	sutokkuseerusu__-_erikku_piitaason____teimu	995	/opt/AI-reads-books-page-by-page/book_analysis/semantica/sutokkuseerusu__-_erikku_piitaason____teimu
pending	toppuseerusu_dakeni_Tayora_nai_Soshiki_wo_Tsukuru__Jissen_seeruu_	2481	/opt/AI-reads-books-page-by-page/book_analysis/semantica/toppuseerusu_dakeni_Tayora_nai_Soshiki_wo_Tsukuru__Jissen_seeruu_
pending	エンジニアのための自己管理入門	1870	/opt/AI-reads-books-page-by-page/book_analysis/semantica/エンジニアのための自己管理入門
pending	バックオフィス業務のすべてがわかる本.ocr	2686	/opt/AI-reads-books-page-by-page/book_analysis/semantica/バックオフィス業務のすべてがわかる本.ocr
pending	プロダクトマネジメントのすべて	2912	/opt/AI-reads-books-page-by-page/book_analysis/semantica/プロダクトマネジメントのすべて
skip	労務入門.ocr	2328	/opt/AI-reads-books-page-by-page/book_analysis/semantica/労務入門.ocr
pending	勝てるプロダクト開発の教科書	2076	/opt/AI-reads-books-page-by-page/book_analysis/semantica/勝てるプロダクト開発の教科書
pending	採用入門.ocr	2529	/opt/AI-reads-books-page-by-page/book_analysis/semantica/採用入門.ocr
pending	法人営業勝ちパターン大全	2193	/opt/AI-reads-books-page-by-page/book_analysis/semantica/法人営業勝ちパターン大全
pending	社内SE1年目から貢献！-情シス-企画・開発・運用-107のルール_00.ocr	1788	/opt/AI-reads-books-page-by-page/book_analysis/semantica/社内SE1年目から貢献！-情シス-企画・開発・運用-107のルール_00.ocr
pending=50 skip=1
